"Номер по каталогу","Наименование","Ед. изм.","Цена руб","Количество","Сумма, руб"
"2123-3770805-14","Жгут левого зеркала Газель-NEXT с джостиком 2015-17г. (в/з А21R23.3770805-13) (Автокомплект)","шт","2,257.00","","0.00"
"3221-3724015-21","Жгут моторного отсека ГАЗ-3221 Евро-2 2007г","шт","7,044.00","","0.00"
"2705-3724012-02","Жгут моторного отсека ГАЗ-3302 ""Газель Бизнес"" дв.4216 (модиф.с 06.2011г) (12)","шт","5,160.00","","0.00"
"3302-3724014-01     ","Жгут моторного отсека ГАЗ-3302 дв.405 Евро-3 2008г","шт","6,532.00","","0.00"
"3302-30-3724012-06     ","Жгут моторного отсека ГАЗ-33023,3302,2705 дв.Камминз (12)","шт","6,250.00","","0.00"
"3307-3724015","Жгут моторного отсека ГАЗ-3307","шт","1,300.00","","0.00"
"2705-3724012-22","Жгут моторного отсека Газель Бизнес Е4 УМЗ 4216(модиф.с 02.2016г.)","шт","7,163.00","","0.00"
"2705-3724012-21","Жгут моторного отсека Газель Бизнес Е4 УМЗ 4216(модиф.с 06.2012г.)","шт","7,645.00","","0.00"
"2223-3724229-10","Жгут панели приборов ГАЗель Next фермер дв.274,275","шт","8,643.00","","0.00"
"3302-3724030-10","Жгут по раме ГАЗ-3302 ""Газель Бизнес"" (модиф.2010г)","шт","1,484.00","","0.00"
"3302-3724030-30","Жгут по раме ГАЗ-3302 ""Газель Бизнес"" освещ.номерн.знака (модиф.с 06.2011г)","шт","1,510.00","","0.00"
"3302-02-3724030-01","Жгут по раме ГАЗ-3302 (удлин база)","шт","1,485.00","","0.00"
"3302-42-3724030-10","Жгут по раме ГАЗ-3302 дв.405 под погружн. б/насос","шт","1,710.00","","0.00"
"3302-02-3724030-30","Жгут по раме ГАЗ-330202 дв.4216, Газель-бизнес, модифик.с 06.2011г, с боковыми габоритами на бортах","шт","2,599.00","","0.00"
"3302-42-3724030-90","Жгут по раме ГАЗ-330242 дв.405 (4216,Крайслер) (удлин.база под погружн б/насос модиф. 2005-09г.)","шт","1,472.00","","0.00"
"3307-3724030","Жгут по раме ГАЗ-3307","шт","1,730.00","","0.00"
"3307-3724030-20","Жгут по раме ГАЗ-3307 (3309 под ABS с 2006г)","шт","3,770.00","","0.00"
"3309-3724030","Жгут по раме ГАЗ-3309 Е3,Е4 (2011-2014 г.в.)","шт","5,387.00","","0.00"
"3310-40-3724030-02","Жгут по раме ГАЗ-3310 Валдай (30) (3310-40-3724030-01)","шт","3,183.00","","0.00"
"3310-60-3724030","Жгут по раме ГАЗ-3310 Валдай дв.Камминз (30)","шт","3,567.00","","0.00"
"3310-60-3724030-01","Жгут по раме ГАЗ-3310 Валдай дв.Камминз Е-4 (30)","шт","4,077.00","","0.00"
"3123-3724030","Жгут по раме ГАЗель Next фургон дв.274,275 (30)","шт","1,680.00","","0.00"
"3221-30-3761581","Жгут под МИКАС ГАЗ-32213 дв.405 Рестайлинг без л/з (Автопровод)","шт","3,203.00","","0.00"
"3302-3761582-20","Жгут под МИКАС ГАЗ-3302 дв 406","шт","1,870.00","","0.00"
"3302-3761581-01","Жгут под МИКАС ГАЗ-3302 дв.405 Е-3 2008г Автопровод","шт","5,599.00","","0.00"
"3302-30-3761581","Жгут под МИКАС ГАЗ-33023 дв.4216 Евро-3 (ульянов инжектор)","шт","4,490.00","","0.00"
"2217-3761581-20","Жгут под МИКАС-7.1 3302 (3221, 2705, 2217) дв.405, Евро 2, 2007г","шт","3,955.00","","0.00"
"5260364 / 5289407 …","Жгут проводов на 2 форсунки в сборе с разъемами (1/2, 3/4 цилиндров) ISF3.8","шт","1,505.00","","0.00"
"6232-3724186","Жгут проводов отопителя Газель Next автобус для подключ.","шт","340.00","","0.00"
"2223-3724186","Жгут проводов отопителя Газель Next для подключ.","шт","266.00","","0.00"
"6232-3724186-10","Жгут проводов отопителя Газель Next, Автобус для подключ.(отопители с измен.полярностью)","шт","348.00","","0.00"
"5260717 / 5306289","Жгут проводов электронного блока модуля управления двигателем (Евро-3) ISF3.8","шт","9,680.00","","0.00"
"5316892","Жгут проводов электронного блока модуля управления двигателем (Евро-4) ISF3.8","шт","10,170.00","","0.00"
"5269930 / 5306279","Жгут проводов электронного блока модуля управления двигателем ISF2.8","шт","9,986.00","","0.00"
"GZ-10","Жгут резиновый для ремонта б/к шин (10шт) в блистере (VETTLER)","шт","101.00","","0.00"
"1010У","Жгут резиновый для ремонта бескамерных шин 6х4х100 (1010У) (БХЗ)","шт","20.00","","0.00"
"4113-3724176-01","Жгут стартера ЯМЗ-5344","шт","1,028.00","","0.00"
"4216-3707070     ","Жгут форсунок дв. 4216 Евро-3 (4216-3707070-02)","шт","434.00","","0.00"
"4216-3707070-10     ","Жгут форсунок дв. 4216 Евро-4","шт","429.00","","0.00"
"АЦ 04900120","Жидкость для ГУР (0,5л) (FELIX)","шт","145.00","","0.00"
"АЦ 04900121","Жидкость для ГУР (1л) (FELIX)","шт","221.00","","0.00"
"","Жидкость стеклоочистителя (незамерзайка)","шт","88.00","","0.00"
"4-557-910","Жидкость тормозная G-PART ДОТ-4 (910г)","шт","224.00","","0.00"
"АЦ 05300007","Жидкость тормозная Нева-М Тосол Синтез (455г)","шт","124.00","","0.00"
"АЦ 05300009","Жидкость тормозная РосДот-4 Тосол Синтез (455г)","шт","158.00","","0.00"
"АЦ 05300010","Жидкость тормозная РосДот-4 Тосол Синтез (910г)","шт","305.00","","0.00"
"","Жидкость тормозная РосДот-6 под АВС Тосол Синтез (455г)","шт","182.00","","0.00"
"","Жидкость тормозная РосДот-6 под АВС Тосол Синтез (910г)","шт","356.00","","0.00"
"11-5208500-01","Жиклер омывателя стекла 1-ный","шт","13.00","","0.00"
"11-5208500","Жиклер омывателя стекла 2-ой","шт","11.00","","0.00"
"50-5215801","Жиклер омывателя стекла ГАЗель Next","шт","59.00","","0.00"
"","Жиклер омывателя стекла универсальный (веерный, крепеж ""Гайка"")","шт","37.00","","0.00"
"2705-6426130","Заглушка (упор) средней направляющей двери 2705","шт","18.00","","0.00"
"3302-2803306","Заглушка бампера 3302 ""Газель-бизнес""","шт","15.00","","0.00"
"3302-2803306-10","Заглушка бампера 3302 (серый) нов обр","шт","16.00","","0.00"
"3302-2803306","Заглушка бампера 3302 (темно-серая)","шт","12.00","","0.00"
"3302-2803306","Заглушка бампера 3302 (черная)","шт","10.00","","0.00"
"3302-2803239-10     ","Заглушка бампера 3302 переднего","шт","35.00","","0.00"
"240-1002328","Заглушка блока цилиндров ГАЗ, ПАЗ, МТЗ Д-240 (большая, D=56) ","шт","72.00","","0.00"
"50-1002326-В","Заглушка блока цилиндров дв.245 (мал) (ММЗ)","шт","41.00","","0.00"
"406-1002030","Заглушка блока цилиндров дв.406 (ЗМЗ)","шт","86.00","","0.00"
"421-1002089","Заглушка блока цилиндров дв.421,4218,4216 (УМЗ) d-30","шт","23.00","","0.00"
"421-1002090","Заглушка блока цилиндров дв.421,4218,4216 (УМЗ) d-45","шт","23.00","","0.00"
"421-1002082","Заглушка блока цилиндров дв.421,4218,4216 (УМЗ) прив распределит ","шт","6.00","","0.00"
"3310-8201263","Заглушка болта зеркала Газель","шт","32.00","","0.00"
"3302-2803309","Заглушка буксирная 3302 лев","шт","110.00","","0.00"
"3302-2803308","Заглушка буксирная 3302 прав","шт","105.00","","0.00"
"50-1005021-А","Заглушка вала коленчатого 245","шт","18.00","","0.00"
"53-1005024","Заглушка вала коленчатого ГАЗ,УАЗ","шт","24.00","","0.00"
"3309-1702089","Заглушка втулки фиксатора 3309","шт","165.00","","0.00"
"240-1003027","Заглушка головки блока дв.245","шт","120.00","","0.00"
"3302-3508178-10","Заглушка тормозного щита ГАЗель,Соболь (Стигма-НН)","шт","13.00","","0.00"
"3310-60-3001037","Заглушка шкворня 33104 Валдай (ГАЗ)","шт","282.00","","0.00"
"52-8101164","Заглушка щита заднего тормоза Волга,3302 лев","шт","9.00","","0.00"
"3302-5600010","Задок кабины 3302 (ГАЗ)","шт","8,173.00","","0.00"
"4930973","Зажим воздушного компрессора ISF3.8","шт","220.00","","0.00"
"4301-8418126","Зажим ограничителя крюка зад двери 2705","шт","18.00","","0.00"
"5261048","Зажим трубки сапуна (держатель/хомут) ISF2.8","шт","78.00","","0.00"
"23-01-5303270","Зажим тяги","шт","6.00","","0.00"
"5261097 / 5405579","Зажим форсунки (держатель/хомут) ISF2.8","шт","274.00","","0.00"
"4944917","Зажим форсунки (держатель/хомут) ISF3.8","шт","202.00","","0.00"
"4х9","Заклепки сцепления  4х9 (50 шт)","шт","45.00","","0.00"
"","Заклепки сцепления №8 4х8 мм (35 шт)","упак","24.00","","0.00"
"3302-3501098","Заклепки тормоза №15 4х11мм (64шт)","шт","43.00","","0.00"
"24-3501098","Заклепки тормоза №27 4х10 мм (48шт) Волга","шт","35.00","","0.00"
"","Заклепки тормоза №3 4х8 мм (48 шт)","упак","16.00","","0.00"
"№41 5х13 (64 шт)","Заклепки тормоза №41 5х13 мм (64 шт)","шт","70.00","","0.00"
"№42 5х17 мм (64 шт)","Заклепки тормоза №42 5х17 мм (64 шт) ГАЗ, ЗИЛ","упак","93.00","","0.00"
"3302-3501098","Заклепки тормоза №6 5х12 мм (40 шт)","упак","33.00","","0.00"
"АК 3302.1206005-30","Заменитель катализатора 3302 (дв.405) Евро2 (АГ)","шт","840.00","","0.00"
"АК 3302.1206005-31","Заменитель катализатора 3302 (дв.405) Евро3 (АГ)","шт","757.00","","0.00"
"4216-1206005","Заменитель нейтрализатора 3302,2217 4216.10 Евро-3 (МобилГазСервис)","шт","2,789.00","","0.00"
"АК 2123-1206010-31","Заменитель нейтрализатора ГАЗель Next дв.274 Е-4 (АГ)","шт","2,072.00","","0.00"
"АК 2123-1206105-23","Заменитель нейтрализатора ГАЗель Next дв.274 Е-4 н/о короткая (АГ)","шт","2,041.00","","0.00"
"2123-1206105-23","Заменитель нейтрализатора ГАЗель Next дв.274 Е-4 н/о короткая (АЗГ г.Арзамас)","шт","1,809.00","","0.00"
"3205-5413120","Замок бензолюка ПАЗ","шт","152.00","","0.00"
"А27-5606000-Б","Замок бокового и заднего люка ПАЗ-3205,ГАЗ-51,52,53,3307 (квадр) (ПАЗ)","шт","399.00","","0.00"
"03302-00-8213080-000","Замок вещевого ящика 3302 с кнопкой","шт","76.00","","0.00"
"2705-6105040","Замок двери 2705,3221 с ключом (личинка в сборе) (левая+средняя+задняя) (ДААЗ/ГАЗ)","шт","1,115.00","","0.00"
"3110-6105080","Замок двери 3110 с ключом (личинка в сборе)","шт","627.00","","0.00"
"3110-6105080-10","Замок двери 31105,3302 с ключом (личинка в сборе) нов обр","шт","639.00","","0.00"
"3302-6105080","Замок двери 3302 с ключом (личинка в сборе)","шт","486.00","","0.00"
"2123-6105012","Замок двери ГАЗель Next пер прав","шт","1,156.00","","0.00"
"2123-6105013","Замок двери ГАЗель Next, ГАЗон Next пер лев","шт","1,270.00","","0.00"
"2101-3704000-11","Замок зажигания 2101-07, ГАЗ-2410,31029, ПАЗ-3205, М2140, КАМАЗ (евро), МАЗ (ДААЗ)","шт","321.00","","0.00"
